ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
1,1,2024-04-26 11:51:24,2024-04-26 11:51:24,"<!-- wp:paragraph -->
<p>Welcome to WordPress. This is your first post. Edit or delete it, then start writing!</p>
<!-- /wp:paragraph -->",Hello world!,,publish,open,open,,hello-world,,,2024-04-26 11:51:24,2024-04-26 11:51:24,,0,http://petpalace.test/?p=1,0,post,,1
2,1,2024-04-26 11:51:24,2024-04-26 11:51:24,"<!-- wp:paragraph -->
<p>This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><p>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</p></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>...or something like this:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><p>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</p></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>As a new WordPress user, you should go to <a href=""http://petpalace.test/wp-admin/"">your dashboard</a> to delete this page and create new pages for your content. Have fun!</p>
<!-- /wp:paragraph -->",Sample Page,,publish,closed,open,,sample-page,,,2024-04-26 11:51:24,2024-04-26 11:51:24,,0,http://petpalace.test/?page_id=2,0,page,,0
3,1,2024-04-26 11:51:24,2024-04-26 11:51:24,"<!-- wp:heading -->
<h2 class=""wp-block-heading"">Who we are</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Our website address is: http://petpalace.test.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Comments</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Media</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Cookies</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select &quot;Remember Me&quot;, your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Embedded content from other websites</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Who we share your data with</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you request a password reset, your IP address will be included in the reset email.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">How long we retain your data</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">What rights you have over your data</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Where your data is sent</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Visitor comments may be checked through an automated spam detection service.</p>
<!-- /wp:paragraph -->
",Privacy Policy,,draft,closed,open,,privacy-policy,,,2024-04-26 11:51:24,2024-04-26 11:51:24,,0,http://petpalace.test/?page_id=3,0,page,,0
4,0,2024-04-26 11:51:26,2024-04-26 11:51:26,<!-- wp:page-list /-->,Navigation,,publish,closed,closed,,navigation,,,2024-04-26 11:51:26,2024-04-26 11:51:26,,0,http://petpalace.test/2024/04/26/navigation/,0,wp_navigation,,0
6,1,2024-04-26 11:59:30,2024-04-26 11:59:30,"{""version"": 2, ""isGlobalStylesUserThemeJSON"": true }",Custom Styles,,publish,closed,closed,,wp-global-styles-twentytwentyfour,,,2024-04-26 11:59:30,2024-04-26 11:59:30,,0,http://petpalace.test/2024/04/26/wp-global-styles-twentytwentyfour/,0,wp_global_styles,,0
7,1,2024-04-26 12:26:13,2024-04-26 12:26:13,"{
    ""show_on_front"": {
        ""value"": ""page"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2024-04-26 12:26:13""
    },
    ""page_on_front"": {
        ""value"": ""2"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2024-04-26 12:26:13""
    },
    ""page_for_posts"": {
        ""value"": ""0"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2024-04-26 12:26:13""
    }
}",,,trash,closed,closed,,04b9e59f-bb9c-4569-a01d-cfdd72bd6ac7,,,2024-04-26 12:26:13,2024-04-26 12:26:13,,0,http://petpalace.test/2024/04/26/04b9e59f-bb9c-4569-a01d-cfdd72bd6ac7/,0,customize_changeset,,0
8,1,2024-04-29 10:40:46,2024-04-29 10:40:46,,woocommerce-placeholder,,inherit,open,closed,,woocommerce-placeholder,,,2024-04-29 10:40:46,2024-04-29 10:40:46,,0,http://petpalace.test/wp-content/uploads/2024/04/woocommerce-placeholder.png,0,attachment,image/png,0
9,1,2024-04-29 10:40:46,2024-04-29 10:40:46,,Shop,,publish,closed,closed,,shop,,,2024-04-29 10:40:46,2024-04-29 10:40:46,,0,http://petpalace.test/shop/,0,page,,0
10,1,2024-04-29 10:40:46,2024-04-29 10:40:46,"<!-- wp:woocommerce/cart -->
<div class=""wp-block-woocommerce-cart alignwide is-loading""><!-- wp:woocommerce/filled-cart-block -->
<div class=""wp-block-woocommerce-filled-cart-block""><!-- wp:woocommerce/cart-items-block -->
<div class=""wp-block-woocommerce-cart-items-block""><!-- wp:woocommerce/cart-line-items-block -->
<div class=""wp-block-woocommerce-cart-line-items-block""></div>
<!-- /wp:woocommerce/cart-line-items-block -->

<!-- wp:woocommerce/cart-cross-sells-block -->
<div class=""wp-block-woocommerce-cart-cross-sells-block""><!-- wp:heading {""fontSize"":""large""} -->
<h2 class=""wp-block-heading has-large-font-size"">You may be interested in…</h2>
<!-- /wp:heading -->

<!-- wp:woocommerce/cart-cross-sells-products-block -->
<div class=""wp-block-woocommerce-cart-cross-sells-products-block""></div>
<!-- /wp:woocommerce/cart-cross-sells-products-block --></div>
<!-- /wp:woocommerce/cart-cross-sells-block --></div>
<!-- /wp:woocommerce/cart-items-block -->

<!-- wp:woocommerce/cart-totals-block -->
<div class=""wp-block-woocommerce-cart-totals-block""><!-- wp:woocommerce/cart-order-summary-block -->
<div class=""wp-block-woocommerce-cart-order-summary-block""><!-- wp:woocommerce/cart-order-summary-heading-block -->
<div class=""wp-block-woocommerce-cart-order-summary-heading-block""></div>
<!-- /wp:woocommerce/cart-order-summary-heading-block -->

<!-- wp:woocommerce/cart-order-summary-coupon-form-block -->
<div class=""wp-block-woocommerce-cart-order-summary-coupon-form-block""></div>
<!-- /wp:woocommerce/cart-order-summary-coupon-form-block -->

<!-- wp:woocommerce/cart-order-summary-subtotal-block -->
<div class=""wp-block-woocommerce-cart-order-summary-subtotal-block""></div>
<!-- /wp:woocommerce/cart-order-summary-subtotal-block -->

<!-- wp:woocommerce/cart-order-summary-fee-block -->
<div class=""wp-block-woocommerce-cart-order-summary-fee-block""></div>
<!-- /wp:woocommerce/cart-order-summary-fee-block -->

<!-- wp:woocommerce/cart-order-summary-discount-block -->
<div class=""wp-block-woocommerce-cart-order-summary-discount-block""></div>
<!-- /wp:woocommerce/cart-order-summary-discount-block -->

<!-- wp:woocommerce/cart-order-summary-shipping-block -->
<div class=""wp-block-woocommerce-cart-order-summary-shipping-block""></div>
<!-- /wp:woocommerce/cart-order-summary-shipping-block -->

<!-- wp:woocommerce/cart-order-summary-taxes-block -->
<div class=""wp-block-woocommerce-cart-order-summary-taxes-block""></div>
<!-- /wp:woocommerce/cart-order-summary-taxes-block --></div>
<!-- /wp:woocommerce/cart-order-summary-block -->

<!-- wp:woocommerce/cart-express-payment-block -->
<div class=""wp-block-woocommerce-cart-express-payment-block""></div>
<!-- /wp:woocommerce/cart-express-payment-block -->

<!-- wp:woocommerce/proceed-to-checkout-block -->
<div class=""wp-block-woocommerce-proceed-to-checkout-block""></div>
<!-- /wp:woocommerce/proceed-to-checkout-block -->

<!-- wp:woocommerce/cart-accepted-payment-methods-block -->
<div class=""wp-block-woocommerce-cart-accepted-payment-methods-block""></div>
<!-- /wp:woocommerce/cart-accepted-payment-methods-block --></div>
<!-- /wp:woocommerce/cart-totals-block --></div>
<!-- /wp:woocommerce/filled-cart-block -->

<!-- wp:woocommerce/empty-cart-block -->
<div class=""wp-block-woocommerce-empty-cart-block""><!-- wp:heading {""textAlign"":""center"",""className"":""with-empty-cart-icon wc-block-cart__empty-cart__title""} -->
<h2 class=""wp-block-heading has-text-align-center with-empty-cart-icon wc-block-cart__empty-cart__title"">Your cart is currently empty!</h2>
<!-- /wp:heading -->

<!-- wp:separator {""className"":""is-style-dots""} -->
<hr class=""wp-block-separator has-alpha-channel-opacity is-style-dots""/>
<!-- /wp:separator -->

<!-- wp:heading {""textAlign"":""center""} -->
<h2 class=""wp-block-heading has-text-align-center"">New in store</h2>
<!-- /wp:heading -->

<!-- wp:woocommerce/product-new {""columns"":4,""rows"":1} /--></div>
<!-- /wp:woocommerce/empty-cart-block --></div>
<!-- /wp:woocommerce/cart -->",Cart,,publish,closed,closed,,cart,,,2024-04-29 10:40:46,2024-04-29 10:40:46,,0,http://petpalace.test/cart/,0,page,,0
11,1,2024-04-29 10:40:46,2024-04-29 10:40:46,"<!-- wp:woocommerce/checkout -->
<div class=""wp-block-woocommerce-checkout alignwide wc-block-checkout is-loading""><!-- wp:woocommerce/checkout-fields-block -->
<div class=""wp-block-woocommerce-checkout-fields-block""><!-- wp:woocommerce/checkout-express-payment-block -->
<div class=""wp-block-woocommerce-checkout-express-payment-block""></div>
<!-- /wp:woocommerce/checkout-express-payment-block -->

<!-- wp:woocommerce/checkout-contact-information-block -->
<div class=""wp-block-woocommerce-checkout-contact-information-block""></div>
<!-- /wp:woocommerce/checkout-contact-information-block -->

<!-- wp:woocommerce/checkout-shipping-method-block -->
<div class=""wp-block-woocommerce-checkout-shipping-method-block""></div>
<!-- /wp:woocommerce/checkout-shipping-method-block -->

<!-- wp:woocommerce/checkout-pickup-options-block -->
<div class=""wp-block-woocommerce-checkout-pickup-options-block""></div>
<!-- /wp:woocommerce/checkout-pickup-options-block -->

<!-- wp:woocommerce/checkout-shipping-address-block -->
<div class=""wp-block-woocommerce-checkout-shipping-address-block""></div>
<!-- /wp:woocommerce/checkout-shipping-address-block -->

<!-- wp:woocommerce/checkout-billing-address-block -->
<div class=""wp-block-woocommerce-checkout-billing-address-block""></div>
<!-- /wp:woocommerce/checkout-billing-address-block -->

<!-- wp:woocommerce/checkout-shipping-methods-block -->
<div class=""wp-block-woocommerce-checkout-shipping-methods-block""></div>
<!-- /wp:woocommerce/checkout-shipping-methods-block -->

<!-- wp:woocommerce/checkout-payment-block -->
<div class=""wp-block-woocommerce-checkout-payment-block""></div>
<!-- /wp:woocommerce/checkout-payment-block -->

<!-- wp:woocommerce/checkout-additional-information-block -->
<div class=""wp-block-woocommerce-checkout-additional-information-block""></div>
<!-- /wp:woocommerce/checkout-additional-information-block -->

<!-- wp:woocommerce/checkout-order-note-block -->
<div class=""wp-block-woocommerce-checkout-order-note-block""></div>
<!-- /wp:woocommerce/checkout-order-note-block -->

<!-- wp:woocommerce/checkout-terms-block -->
<div class=""wp-block-woocommerce-checkout-terms-block""></div>
<!-- /wp:woocommerce/checkout-terms-block -->

<!-- wp:woocommerce/checkout-actions-block -->
<div class=""wp-block-woocommerce-checkout-actions-block""></div>
<!-- /wp:woocommerce/checkout-actions-block --></div>
<!-- /wp:woocommerce/checkout-fields-block -->

<!-- wp:woocommerce/checkout-totals-block -->
<div class=""wp-block-woocommerce-checkout-totals-block""><!-- wp:woocommerce/checkout-order-summary-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-block""><!-- wp:woocommerce/checkout-order-summary-cart-items-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-cart-items-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-cart-items-block -->

<!-- wp:woocommerce/checkout-order-summary-coupon-form-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-coupon-form-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-coupon-form-block -->

<!-- wp:woocommerce/checkout-order-summary-subtotal-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-subtotal-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-subtotal-block -->

<!-- wp:woocommerce/checkout-order-summary-fee-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-fee-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-fee-block -->

<!-- wp:woocommerce/checkout-order-summary-discount-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-discount-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-discount-block -->

<!-- wp:woocommerce/checkout-order-summary-shipping-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-shipping-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-shipping-block -->

<!-- wp:woocommerce/checkout-order-summary-taxes-block -->
<div class=""wp-block-woocommerce-checkout-order-summary-taxes-block""></div>
<!-- /wp:woocommerce/checkout-order-summary-taxes-block --></div>
<!-- /wp:woocommerce/checkout-order-summary-block --></div>
<!-- /wp:woocommerce/checkout-totals-block --></div>
<!-- /wp:woocommerce/checkout -->",Checkout,,publish,closed,closed,,checkout,,,2024-04-29 10:40:46,2024-04-29 10:40:46,,0,http://petpalace.test/checkout/,0,page,,0
